"Mun.Cod.";"Munic.de residencia";"2017";"2018";"2019";"2020";"2021";" Total"
"290010";"ABAIRA";"0";"0";"0";"1";"0";"1"
"290070";"ALAGOINHAS";"0";"0";"1";"0";"0";"1"
"290080";"ALCOBACA";"0";"0";"0";"1";"0";"1"
"290130";"ANDARAI";"0";"0";"0";"0";"1";"1"
"290210";"ARACI";"0";"0";"0";"1";"0";"1"
"290260";"BAIXA GRANDE";"0";"0";"0";"0";"2";"2"
"290280";"BARRA DA ESTIVA";"3";"6";"3";"6";"1";"19"
"290300";"BARRA DO MENDES";"0";"0";"0";"1";"0";"1"
"290310";"BARRA DO ROCHA";"0";"0";"0";"0";"1";"1"
"290405";"BONITO";"0";"0";"0";"1";"0";"1"
"290460";"BRUMADO";"0";"0";"1";"0";"0";"1"
"290485";"CABACEIRAS DO PARAGUACU";"0";"0";"1";"0";"0";"1"
"290510";"CAEM";"0";"0";"1";"0";"0";"1"
"290570";"CAMACARI";"0";"0";"0";"4";"3";"7"
"290580";"CAMAMU";"0";"1";"1";"0";"0";"2"
"290590";"CAMPO ALEGRE DE LOURDES";"0";"1";"0";"1";"0";"2"
"290600";"CAMPO FORMOSO";"1";"0";"1";"1";"0";"3"
"290650";"CANDEIAS";"0";"0";"0";"0";"1";"1"
"290685";"CAPELA DO ALTO ALEGRE";"0";"0";"0";"0";"1";"1"
"290710";"CARINHANHA";"0";"1";"0";"0";"0";"1"
"290730";"CASTRO ALVES";"0";"0";"0";"0";"1";"1"
"290750";"CATU";"0";"0";"0";"0";"1";"1"
"290830";"CONCEICAO DO ALMEIDA";"0";"0";"0";"0";"1";"1"
"290980";"CRUZ DAS ALMAS";"0";"0";"1";"1";"0";"2"
"291005";"DIAS D\'AVILA";"0";"0";"0";"0";"1";"1"
"291072";"EUNAPOLIS";"0";"5";"1";"1";"0";"7"
"291080";"FEIRA DE SANTANA";"0";"1";"0";"0";"0";"1"
"291170";"GUANAMBI";"1";"0";"0";"2";"0";"3"
"291180";"GUARATINGA";"1";"0";"0";"0";"0";"1"
"291185";"HELIOPOLIS";"1";"0";"0";"0";"0";"1"
"291210";"IBICARAI";"0";"0";"0";"1";"0";"1"
"291220";"IBICOARA";"1";"0";"0";"1";"0";"2"
"291240";"IBIPEBA";"0";"0";"0";"1";"0";"1"
"291360";"ILHEUS";"0";"0";"0";"0";"1";"1"
"291390";"IPIAU";"0";"1";"0";"0";"0";"1"
"291400";"IPIRA";"0";"0";"1";"0";"0";"1"
"291450";"IRARA";"0";"0";"1";"0";"0";"1"
"291460";"IRECE";"0";"0";"1";"0";"0";"1"
"291465";"ITABELA";"2";"0";"0";"0";"0";"2"
"291470";"ITABERABA";"0";"0";"0";"0";"1";"1"
"291480";"ITABUNA";"0";"1";"0";"0";"0";"1"
"291560";"ITAMARAJU";"0";"0";"0";"0";"1";"1"
"291630";"ITAPEBI";"0";"0";"0";"1";"0";"1"
"291680";"ITARANTIM";"0";"0";"0";"1";"0";"1"
"291750";"JACOBINA";"0";"0";"0";"1";"0";"1"
"291770";"JAGUARARI";"0";"1";"0";"0";"0";"1"
"291800";"JEQUIE";"0";"1";"1";"1";"1";"4"
"291830";"JITAUNA";"0";"0";"0";"1";"0";"1"
"291840";"JUAZEIRO";"0";"1";"5";"0";"6";"12"
"291920";"LAURO DE FREITAS";"0";"3";"0";"1";"0";"4"
"291955";"LUIS EDUARDO MAGALHAES";"0";"1";"0";"0";"2";"3"
"291980";"MACAUBAS";"0";"0";"0";"1";"0";"1"
"292060";"MARAGOGIPE";"0";"0";"0";"1";"0";"1"
"292100";"MATA DE SAO JOAO";"0";"0";"0";"1";"0";"1"
"292170";"MORRO DO CHAPEU";"0";"0";"0";"0";"1";"1"
"292180";"MORTUGABA";"1";"0";"0";"0";"0";"1"
"292200";"MUCURI";"1";"0";"0";"0";"0";"1"
"292350";"PALMEIRAS";"0";"0";"0";"1";"0";"1"
"292400";"PAULO AFONSO";"0";"1";"1";"0";"0";"2"
"292430";"PIATA";"0";"0";"0";"0";"1";"1"
"292440";"PILAO ARCADO";"0";"0";"0";"1";"0";"1"
"292450";"PINDAI";"0";"1";"0";"0";"0";"1"
"292480";"PIRITIBA";"0";"0";"1";"0";"0";"1"
"292520";"POJUCA";"0";"0";"1";"0";"1";"2"
"292530";"PORTO SEGURO";"5";"6";"0";"1";"6";"18"
"292560";"PRESIDENTE DUTRA";"0";"0";"0";"0";"1";"1"
"292600";"REMANSO";"0";"0";"1";"0";"0";"1"
"292620";"RIACHAO DAS NEVES";"0";"1";"0";"0";"0";"1"
"292630";"RIACHAO DO JACUIPE";"0";"0";"0";"0";"1";"1"
"292710";"RODELAS";"0";"0";"0";"0";"1";"1"
"292720";"RUY BARBOSA";"0";"0";"1";"0";"0";"1"
"292740";"SALVADOR";"4";"4";"9";"17";"21";"55"
"292790";"SANTA INES";"0";"0";"0";"1";"0";"1"
"292810";"SANTA MARIA DA VITORIA";"0";"1";"0";"1";"0";"2"
"292840";"SANTA RITA DE CASSIA";"0";"0";"0";"1";"0";"1"
"292850";"SANTA TERESINHA";"0";"0";"0";"0";"1";"1"
"292860";"SANTO AMARO";"0";"0";"0";"1";"1";"2"
"292880";"SANTO ESTEVAO";"1";"0";"1";"0";"0";"2"
"292930";"SAO GONCALO DOS CAMPOS";"0";"1";"0";"0";"0";"1"
"292937";"SAO JOSE DO JACUIPE";"0";"0";"1";"0";"0";"1"
"292975";"SAUBARA";"0";"0";"0";"1";"0";"1"
"292980";"SAUDE";"0";"0";"0";"2";"0";"2"
"292990";"SEABRA";"0";"0";"0";"1";"0";"1"
"293020";"SENTO SE";"0";"1";"0";"0";"0";"1"
"293030";"SERRA DOURADA";"0";"0";"0";"1";"0";"1"
"293040";"SERRA PRETA";"1";"0";"0";"0";"0";"1"
"293060";"SERROLANDIA";"1";"0";"0";"0";"0";"1"
"293070";"SIMOES FILHO";"0";"0";"0";"1";"0";"1"
"293077";"SOBRADINHO";"0";"0";"1";"0";"0";"1"
"293080";"SOUTO SOARES";"0";"0";"0";"1";"0";"1"
"293100";"TANHACU";"1";"0";"0";"0";"1";"2"
"293135";"TEIXEIRA DE FREITAS";"1";"0";"1";"0";"0";"2"
"293200";"UAUA";"0";"0";"0";"1";"1";"2"
"293290";"VALENCA";"0";"0";"0";"2";"0";"2"
"293315";"VARZEA NOVA";"1";"0";"0";"0";"0";"1"